,tax_year,academic_year,YAG,sex,subject_name,provider_name,earnings_median,earnings_LQ,earnings_median,earnings_UQ
8807,2018/2019,2016/2017,1,Female + male,Medical sciences,University of Derby,24800,19000,24800,26600
8808,2018/2019,2016/2017,1,Female + male,Medical sciences,University of Hertfordshire,28500,24700,28500,34700
8809,2018/2019,2016/2017,1,Female + male,Medical sciences,University of Newcastle-upon-Tyne,c,c,c,c
8810,2018/2019,2016/2017,1,Female + male,Medical sciences,University of Nottingham,21200,14600,21200,24100
8811,2018/2019,2016/2017,1,Female + male,Medical sciences,University of Plymouth,21200,15300,21200,23000
8812,2018/2019,2016/2017,1,Female + male,Medical sciences,"University of the West of England, Bristol",24600,22300,24600,26600
8813,2018/2019,2016/2017,1,Female + male,Medicine and dentistry,Peter Symonds College,c,c,c,c
8814,2018/2019,2016/2017,1,Female + male,Medicine and dentistry,Cardiff University,36900,33900,36900,38700
8815,2018/2019,2016/2017,1,Female + male,Medicine and dentistry,Glasgow Caledonian University,c,c,c,c
8816,2018/2019,2016/2017,1,Female + male,Medicine and dentistry,"Imperial College of Science, Technology and Medicine",36500,34300,36500,39100
8817,2018/2019,2016/2017,1,Female + male,Medicine and dentistry,King's College London,37200,34700,37200,39800
8818,2018/2019,2016/2017,1,Female + male,Medicine and dentistry,Queen Mary University of London,36500,33900,36500,39400
8819,2018/2019,2016/2017,1,Female + male,Medicine and dentistry,St George's Hospital Medical School,36500,34300,36500,39100
8820,2018/2019,2016/2017,1,Female + male,Medicine and dentistry,Swansea University,38000,34300,38000,38700
8821,2018/2019,2016/2017,1,Female + male,Medicine and dentistry,Teesside University,c,c,c,c
8822,2018/2019,2016/2017,1,Female + male,Medicine and dentistry,The University of Aberdeen,39800,36500,39800,41600
8823,2018/2019,2016/2017,1,Female + male,Medicine and dentistry,The University of Birmingham,36500,33600,36500,38300
8824,2018/2019,2016/2017,1,Female + male,Medicine and dentistry,The University of Brighton,36900,35800,36900,39300
8825,2018/2019,2016/2017,1,Female + male,Medicine and dentistry,The University of Bristol,36500,34300,36500,38700
8826,2018/2019,2016/2017,1,Female + male,Medicine and dentistry,The University of Cambridge,36100,33600,36100,38300
8827,2018/2019,2016/2017,1,Female + male,Medicine and dentistry,The University of Central Lancashire,36100,32400,36100,40200
8828,2018/2019,2016/2017,1,Female + male,Medicine and dentistry,The University of Dundee,40200,38700,40200,43100
8829,2018/2019,2016/2017,1,Female + male,Medicine and dentistry,The University of East Anglia,36700,33900,36700,39100
8830,2018/2019,2016/2017,1,Female + male,Medicine and dentistry,The University of Edinburgh,39100,36500,39100,41200
8831,2018/2019,2016/2017,1,Female + male,Medicine and dentistry,The University of Exeter,36300,33900,36300,40200
8832,2018/2019,2016/2017,1,Female + male,Medicine and dentistry,The University of Glasgow,39800,36900,39800,42300
8833,2018/2019,2016/2017,1,Female + male,Medicine and dentistry,The University of Hull,36100,33600,36100,38300
8834,2018/2019,2016/2017,1,Female + male,Medicine and dentistry,The University of Keele,37200,34700,37200,39500
8835,2018/2019,2016/2017,1,Female + male,Medicine and dentistry,The University of Lancaster,35800,33900,35800,38300
8836,2018/2019,2016/2017,1,Female + male,Medicine and dentistry,The University of Leeds,36900,34300,36900,39100
8837,2018/2019,2016/2017,1,Female + male,Medicine and dentistry,The University of Leicester,36100,33900,36100,38300
8838,2018/2019,2016/2017,1,Female + male,Medicine and dentistry,The University of Liverpool,36500,33900,36500,39100
8839,2018/2019,2016/2017,1,Female + male,Medicine and dentistry,The University of Manchester,35800,33600,35800,38700
8840,2018/2019,2016/2017,1,Female + male,Medicine and dentistry,The University of Oxford,36900,34300,36900,39100
8841,2018/2019,2016/2017,1,Female + male,Medicine and dentistry,The University of Sheffield,36100,33900,36100,38300
8842,2018/2019,2016/2017,1,Female + male,Medicine and dentistry,The University of Southampton,36100,34300,36100,38300
8843,2018/2019,2016/2017,1,Female + male,Medicine and dentistry,The University of St Andrews,,,,
8844,2018/2019,2016/2017,1,Female + male,Medicine and dentistry,The University of Sussex,36500,33600,36500,39400
8845,2018/2019,2016/2017,1,Female + male,Medicine and dentistry,The University of Warwick,36100,34300,36100,38700
8846,2018/2019,2016/2017,1,Female + male,Medicine and dentistry,The University of York,36000,33600,36000,38700
8847,2018/2019,2016/2017,1,Female + male,Medicine and dentistry,University College London,36500,33900,36500,38700
8848,2018/2019,2016/2017,1,Female + male,Medicine and dentistry,University of Newcastle-upon-Tyne,36100,34300,36100,38700
8849,2018/2019,2016/2017,1,Female + male,Medicine and dentistry,University of Nottingham,35800,33600,35800,37600
8850,2018/2019,2016/2017,1,Female + male,Medicine and dentistry,University of Plymouth,36100,33900,36100,38300
8851,2018/2019,2016/2017,1,Female + male,Medicine and dentistry,University of the Highlands and Islands,c,c,c,c
8852,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,BPP University Limited,c,c,c,c
8853,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,Anglia Ruskin University,27400,23700,27400,32100
8854,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,Bangor University,25900,23400,25900,28100
8855,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,Birmingham City University,27700,23000,27700,32500
8856,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,Bournemouth University,25900,21900,25900,30300
8857,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,Brunel University London,27700,20400,27700,36900
8858,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,Buckinghamshire New University,29000,23700,29000,33900
8859,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,Canterbury Christ Church University,27000,23700,27000,32100
8860,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,Cardiff University,26300,23700,26300,29600
8861,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,Coventry University,26600,23000,26600,31400
8862,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,De Montfort University,26300,22600,26300,30700
8863,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,Edge Hill University,25200,21500,25200,28500
8864,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,Edinburgh Napier University,27000,24100,27000,29900
8865,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,Glasgow Caledonian University,27700,24500,27700,30700
8866,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,Glyndwr University,30300,23000,30300,33200
8867,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,King's College London,30700,26600,30700,34300
8868,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,Kingston University,29700,23600,29700,34000
8869,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,Leeds Beckett University,26600,24800,26600,30000
8870,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,Liverpool John Moores University,25600,22600,25600,28800
8871,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,London South Bank University,31000,27000,31000,36900
8872,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,Middlesex University,30300,26300,30300,35000
8873,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,Oxford Brookes University,25600,23400,25600,28500
8874,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,"Queen Margaret University, Edinburgh",27000,24800,27000,28800
8875,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,Sheffield Hallam University,25900,23000,25900,28800
8876,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,St George's Hospital Medical School,40900,33900,40900,46000
8877,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,Staffordshire University,25200,21500,25200,30700
8878,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,Swansea University,25900,22300,25900,28500
8879,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,Teesside University,25900,24000,25900,29200
8880,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,The City University,31000,27000,31000,36100
8881,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,The Manchester Metropolitan University,26300,22600,26300,29200
8882,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,The Open University,25200,22600,25200,28100
8883,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,The Robert Gordon University,27700,24500,27700,29900
8884,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,The University of Birmingham,25700,23400,25700,28200
8885,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,The University of Bolton,20400,12400,20400,29200
8886,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,The University of Bradford,24500,18600,24500,28800
8887,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,The University of Brighton,26300,22600,26300,31000
8888,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,The University of Central Lancashire,25900,22600,25900,29900
8889,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,The University of Dundee,27000,23400,27000,28800
8890,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,The University of East Anglia,25900,23700,25900,29900
8891,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,The University of East London,c,c,c,c
8892,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,The University of Edinburgh,27400,25200,27400,28100
8893,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,The University of Essex,27700,23700,27700,31000
8894,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,The University of Glasgow,27200,25400,27200,29700
8895,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,The University of Greenwich,30300,25900,30300,34900
8896,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,The University of Huddersfield,25900,23000,25900,31000
8897,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,The University of Hull,25900,19700,25900,29200
8898,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,The University of Keele,25600,21500,25600,29600
8899,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,The University of Leeds,27000,24800,27000,29900
8900,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,The University of Lincoln,26300,23400,26300,28100
8901,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,The University of Liverpool,25700,23700,25700,28100
8902,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,The University of Manchester,26600,24500,26600,29600
8903,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,The University of Northampton,26600,23400,26600,30700
8904,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,The University of Portsmouth,28700,23800,28700,36600
8905,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,The University of Salford,26500,23700,26500,29900
8906,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,The University of Sheffield,28800,25200,28800,33600
8907,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,The University of Southampton,27400,24500,27400,30700
8908,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,The University of Stirling,26600,23000,26600,29600
8909,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,The University of Sunderland,c,c,c,c
8910,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,The University of Surrey,27700,24100,27700,31400
8911,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,The University of the West of Scotland,26300,23400,26300,28500
8912,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,The University of West London,30300,22600,30300,38000
8913,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,The University of Winchester,c,c,c,c
8914,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,The University of Wolverhampton,26300,21500,26300,31400
8915,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,The University of York,25900,21200,25900,30700
8916,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,University Campus Suffolk,25700,22600,25700,31400
8917,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,University of Abertay Dundee,27700,24500,27700,29900
8918,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,University of Bedfordshire,27200,23000,27200,31400
8919,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,University of Chester,25600,21900,25600,28800
8920,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,University of Cumbria,26300,24100,26300,29600
8921,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,University of Derby,25900,21500,25900,31800
8922,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,University of Hertfordshire,28100,23700,28100,33900
8923,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,University of Northumbria at Newcastle,27000,23700,27000,30700
8924,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,University of Nottingham,26600,23700,26600,30700
8925,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,University of Plymouth,25600,22600,25600,27700
8926,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,University of South Wales,25900,23700,25900,29900
8927,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,"University of the West of England, Bristol",25600,23400,25600,28500
8928,2018/2019,2016/2017,1,Female + male,Nursing and midwifery,University of Worcester,25600,22600,25600,29200
8929,2018/2019,2016/2017,1,Female + male,Performing arts,ALRA,11700,8500,11700,17100
8930,2018/2019,2016/2017,1,Female + male,Performing arts,Arts Educational Schools(The),13800,10200,13800,18600
8931,2018/2019,2016/2017,1,Female + male,Performing arts,Ballet West,10200,5800,10200,14600
8932,2018/2019,2016/2017,1,Female + male,Performing arts,BIMM Limited,14000,9800,14000,18200
8933,2018/2019,2016/2017,1,Female + male,Performing arts,Court Theatre Training Company Ltd,c,c,c,c
8934,2018/2019,2016/2017,1,Female + male,Performing arts,Elim Foursquare Gospel Alliance,c,c,c,c
8935,2018/2019,2016/2017,1,Female + male,Performing arts,Futureworks Training Limited,c,c,c,c
8936,2018/2019,2016/2017,1,Female + male,Performing arts,ICMP Management Limited,12600,7000,12600,18300
8937,2018/2019,2016/2017,1,Female + male,Performing arts,Kogan Academy of Dramatic Arts,c,c,c,c
8938,2018/2019,2016/2017,1,Female + male,Performing arts,London College of Creative Media,12600,8800,12600,16400
8939,2018/2019,2016/2017,1,Female + male,Performing arts,London Studio Centre Limited,11500,9800,11500,15000
8940,2018/2019,2016/2017,1,Female + male,Performing arts,Millennium Performing Arts Ltd.,c,c,c,c
8941,2018/2019,2016/2017,1,Female + male,Performing arts,Mountview Academy of Theatre Arts Limited,14600,10400,14600,19000
8942,2018/2019,2016/2017,1,Female + male,Performing arts,Point Blank Limited,c,c,c,c
8943,2018/2019,2016/2017,1,Female + male,Performing arts,Regent's University London,c,c,c,c
8944,2018/2019,2016/2017,1,Female + male,Performing arts,"Richmond, the American International University in London, Inc.",c,c,c,c
8945,2018/2019,2016/2017,1,Female + male,Performing arts,Royal Academy of Dance,c,c,c,c
8946,2018/2019,2016/2017,1,Female + male,Performing arts,SAE Education Limited,,,,
8947,2018/2019,2016/2017,1,Female + male,Performing arts,Slough Borough Council,9000,6900,9000,13100
8948,2018/2019,2016/2017,1,Female + male,Performing arts,The Academy for Contemporary Music Limited,13500,9100,13500,18600
8949,2018/2019,2016/2017,1,Female + male,Performing arts,The Chicken Shed Theatre Trust,11700,8400,11700,14200
8950,2018/2019,2016/2017,1,Female + male,Performing arts,Access to Music Limited,c,c,c,c
8951,2018/2019,2016/2017,1,Female + male,Performing arts,Amersham & Wycombe College,14000,11800,14000,17200
8952,2018/2019,2016/2017,1,Female + male,Performing arts,Barnsley College,c,c,c,c
8953,2018/2019,2016/2017,1,Female + male,Performing arts,Blackpool and the Fylde College,12800,8800,12800,15300
8954,2018/2019,2016/2017,1,Female + male,Performing arts,BMC (Brooksby Melton College),c,c,c,c
8955,2018/2019,2016/2017,1,Female + male,Performing arts,Bradford College,17200,11200,17200,22300
8956,2018/2019,2016/2017,1,Female + male,Performing arts,Bridgwater and Taunton College,12200,7700,12200,15300
8957,2018/2019,2016/2017,1,Female + male,Performing arts,Calderdale College,c,c,c,c
8958,2018/2019,2016/2017,1,Female + male,Performing arts,City College Brighton and Hove,c,c,c,c
8959,2018/2019,2016/2017,1,Female + male,Performing arts,Cleveland College of Art and Design,12500,9500,12500,16800
8960,2018/2019,2016/2017,1,Female + male,Performing arts,Colchester Institute,11900,9100,11900,15500
8961,2018/2019,2016/2017,1,Female + male,Performing arts,Doncaster College,c,c,c,c
8962,2018/2019,2016/2017,1,Female + male,Performing arts,Gateshead College,12000,9500,12000,16400
8963,2018/2019,2016/2017,1,Female + male,Performing arts,Greater Brighton Metropolitan College,13900,10800,13900,17200
8964,2018/2019,2016/2017,1,Female + male,Performing arts,Grimsby Institute of Further and Higher Education,11700,8800,11700,14500
8965,2018/2019,2016/2017,1,Female + male,Performing arts,Havering College of Further and Higher Education,c,c,c,c
8966,2018/2019,2016/2017,1,Female + male,Performing arts,Hugh Baird College,c,c,c,c
8967,2018/2019,2016/2017,1,Female + male,Performing arts,Hull College,12400,8400,12400,16800
8968,2018/2019,2016/2017,1,Female + male,Performing arts,Kingston College,10800,8000,10800,16400
8969,2018/2019,2016/2017,1,Female + male,Performing arts,Leeds City College,12000,8600,12000,16800
8970,2018/2019,2016/2017,1,Female + male,Performing arts,Leicester College,15100,9100,15100,19300
8971,2018/2019,2016/2017,1,Female + male,Performing arts,Loughborough College,c,c,c,c
8972,2018/2019,2016/2017,1,Female + male,Performing arts,LTE Group,15200,11700,15200,19200
8973,2018/2019,2016/2017,1,Female + male,Performing arts,NCG,,,,
8974,2018/2019,2016/2017,1,Female + male,Performing arts,NCG,15000,8400,15000,17900
8975,2018/2019,2016/2017,1,Female + male,Performing arts,New College Nottingham (NCN),13100,8800,13100,16400
8976,2018/2019,2016/2017,1,Female + male,Performing arts,RNN Group,c,c,c,c
8977,2018/2019,2016/2017,1,Female + male,Performing arts,South Essex College of Further and Higher Education,c,c,c,c
8978,2018/2019,2016/2017,1,Female + male,Performing arts,Sussex Downs College,c,c,c,c
8979,2018/2019,2016/2017,1,Female + male,Performing arts,The Bournemouth and Poole College,16600,8600,16600,19300
8980,2018/2019,2016/2017,1,Female + male,Performing arts,The Oldham College,c,c,c,c
8981,2018/2019,2016/2017,1,Female + male,Performing arts,Wakefield College,c,c,c,c
8982,2018/2019,2016/2017,1,Female + male,Performing arts,West Nottinghamshire College,c,c,c,c
8983,2018/2019,2016/2017,1,Female + male,Performing arts,Aberystwyth University,15000,8800,15000,18600
8984,2018/2019,2016/2017,1,Female + male,Performing arts,Anglia Ruskin University,14200,9500,14200,17900
8985,2018/2019,2016/2017,1,Female + male,Performing arts,Bangor University,c,c,c,c
8986,2018/2019,2016/2017,1,Female + male,Performing arts,Bath Spa University,13900,10000,13900,17900
8987,2018/2019,2016/2017,1,Female + male,Performing arts,Birkbeck College,c,c,c,c
8988,2018/2019,2016/2017,1,Female + male,Performing arts,Birmingham City University,14200,10200,14200,18700
8989,2018/2019,2016/2017,1,Female + male,Performing arts,Bishop Grosseteste University,15300,11300,15300,17500
8990,2018/2019,2016/2017,1,Female + male,Performing arts,Bournemouth University,c,c,c,c
8991,2018/2019,2016/2017,1,Female + male,Performing arts,Brunel University London,17700,12000,17700,20500
8992,2018/2019,2016/2017,1,Female + male,Performing arts,Buckinghamshire New University,15000,10200,15000,18700
8993,2018/2019,2016/2017,1,Female + male,Performing arts,Canterbury Christ Church University,14600,9500,14600,18600
8994,2018/2019,2016/2017,1,Female + male,Performing arts,Cardiff Metropolitan University,c,c,c,c
8995,2018/2019,2016/2017,1,Female + male,Performing arts,Cardiff University,17900,14500,17900,20400
8996,2018/2019,2016/2017,1,Female + male,Performing arts,Conservatoire for Dance and Drama,12400,8400,12400,17200
8997,2018/2019,2016/2017,1,Female + male,Performing arts,Coventry University,13100,9800,13100,18700
8998,2018/2019,2016/2017,1,Female + male,Performing arts,De Montfort University,13900,11300,13900,17900
8999,2018/2019,2016/2017,1,Female + male,Performing arts,Edge Hill University,13100,9500,13100,18200
9000,2018/2019,2016/2017,1,Female + male,Performing arts,Edinburgh Napier University,13800,10100,13800,20400
9001,2018/2019,2016/2017,1,Female + male,Performing arts,Falmouth University,12500,8900,12500,17900
9002,2018/2019,2016/2017,1,Female + male,Performing arts,Glyndwr University,c,c,c,c
9003,2018/2019,2016/2017,1,Female + male,Performing arts,Goldsmiths College,16200,11700,16200,22300
9004,2018/2019,2016/2017,1,Female + male,Performing arts,Guildhall School of Music and Drama,15500,9500,15500,23000
9005,2018/2019,2016/2017,1,Female + male,Performing arts,King's College London,21500,15300,21500,28100
9006,2018/2019,2016/2017,1,Female + male,Performing arts,Kingston University,17400,11600,17400,22300
9007,2018/2019,2016/2017,1,Female + male,Performing arts,Leeds Beckett University,16600,12400,16600,20800
9008,2018/2019,2016/2017,1,Female + male,Performing arts,Liverpool Hope University,14200,9500,14200,16800
9009,2018/2019,2016/2017,1,Female + male,Performing arts,Liverpool John Moores University,12800,8800,12800,17500
9010,2018/2019,2016/2017,1,Female + male,Performing arts,London Metropolitan University,13100,9500,13100,17500
9011,2018/2019,2016/2017,1,Female + male,Performing arts,London South Bank University,16800,12800,16800,20100
9012,2018/2019,2016/2017,1,Female + male,Performing arts,Loughborough University,14600,11300,14600,24500
9013,2018/2019,2016/2017,1,Female + male,Performing arts,Middlesex University,15300,9100,15300,20100
9014,2018/2019,2016/2017,1,Female + male,Performing arts,Newman University,15300,12400,15300,17500
9015,2018/2019,2016/2017,1,Female + male,Performing arts,Oxford Brookes University,17900,14600,17900,24100
9016,2018/2019,2016/2017,1,Female + male,Performing arts,Plymouth College of Art,9500,5500,9500,16100
9017,2018/2019,2016/2017,1,Female + male,Performing arts,"Queen Margaret University, Edinburgh",12800,8000,12800,18200
9018,2018/2019,2016/2017,1,Female + male,Performing arts,Queen Mary University of London,16600,11700,16600,22300
9019,2018/2019,2016/2017,1,Female + male,Performing arts,Ravensbourne,c,c,c,c
9020,2018/2019,2016/2017,1,Female + male,Performing arts,Roehampton University,16400,11300,16400,21200
9021,2018/2019,2016/2017,1,Female + male,Performing arts,Rose Bruford College,14400,9600,14400,19300
9022,2018/2019,2016/2017,1,Female + male,Performing arts,Royal Academy of Music,16600,12800,16600,23900
9023,2018/2019,2016/2017,1,Female + male,Performing arts,Royal College of Music,22800,11800,22800,25100
9024,2018/2019,2016/2017,1,Female + male,Performing arts,Royal Conservatoire of Scotland,12700,7000,12700,19300
9025,2018/2019,2016/2017,1,Female + male,Performing arts,Royal Holloway and Bedford New College,17800,11700,17800,21500
9026,2018/2019,2016/2017,1,Female + male,Performing arts,Royal Northern College of Music,13700,9800,13700,18100
9027,2018/2019,2016/2017,1,Female + male,Performing arts,Sheffield Hallam University,13100,10200,13100,16100
9028,2018/2019,2016/2017,1,Female + male,Performing arts,Southampton Solent University,14600,9900,14600,18200
9029,2018/2019,2016/2017,1,Female + male,Performing arts,"St Mary's University, Twickenham",14200,10600,14200,18200
9030,2018/2019,2016/2017,1,Female + male,Performing arts,Staffordshire University,11800,8400,11800,15700
9031,2018/2019,2016/2017,1,Female + male,Performing arts,Teesside University,11300,9900,11300,16100
9032,2018/2019,2016/2017,1,Female + male,Performing arts,The Arts University Bournemouth,13900,9900,13900,19300
9033,2018/2019,2016/2017,1,Female + male,Performing arts,The City University,13900,10700,13900,15700
9034,2018/2019,2016/2017,1,Female + male,Performing arts,The Liverpool Institute for Performing Arts,12800,9400,12800,17500
9035,2018/2019,2016/2017,1,Female + male,Performing arts,The Manchester Metropolitan University,14200,11000,14200,17500
9036,2018/2019,2016/2017,1,Female + male,Performing arts,The Nottingham Trent University,16800,12600,16800,25200
9037,2018/2019,2016/2017,1,Female + male,Performing arts,The Royal Central School of Speech and Drama,16800,10600,16800,23800
9038,2018/2019,2016/2017,1,Female + male,Performing arts,The School of Oriental and African Studies,c,c,c,c
9039,2018/2019,2016/2017,1,Female + male,Performing arts,The University of Aberdeen,19000,14200,19000,22300
9040,2018/2019,2016/2017,1,Female + male,Performing arts,The University of Birmingham,17500,15000,17500,22600
9041,2018/2019,2016/2017,1,Female + male,Performing arts,The University of Bolton,11000,4900,11000,15300
9042,2018/2019,2016/2017,1,Female + male,Performing arts,The University of Brighton,c,c,c,c
9043,2018/2019,2016/2017,1,Female + male,Performing arts,The University of Bristol,19000,14600,19000,21500
9044,2018/2019,2016/2017,1,Female + male,Performing arts,The University of Cambridge,20100,15000,20100,27000
9045,2018/2019,2016/2017,1,Female + male,Performing arts,The University of Central Lancashire,14200,10200,14200,17200
9046,2018/2019,2016/2017,1,Female + male,Performing arts,The University of Chichester,14600,10200,14600,17500
9047,2018/2019,2016/2017,1,Female + male,Performing arts,The University of East Anglia,13000,9100,13000,20800
9048,2018/2019,2016/2017,1,Female + male,Performing arts,The University of East London,13900,10400,13900,18200
9049,2018/2019,2016/2017,1,Female + male,Performing arts,The University of Edinburgh,10600,6000,10600,18600
9050,2018/2019,2016/2017,1,Female + male,Performing arts,The University of Essex,13600,10600,13600,16400
9051,2018/2019,2016/2017,1,Female + male,Performing arts,The University of Exeter,15000,10600,15000,19700
9052,2018/2019,2016/2017,1,Female + male,Performing arts,The University of Glasgow,15000,10200,15000,21200
9053,2018/2019,2016/2017,1,Female + male,Performing arts,The University of Greenwich,16100,10300,16100,19300
9054,2018/2019,2016/2017,1,Female + male,Performing arts,The University of Huddersfield,13900,10600,13900,17900
9055,2018/2019,2016/2017,1,Female + male,Performing arts,The University of Hull,14200,9900,14200,19900
9056,2018/2019,2016/2017,1,Female + male,Performing arts,The University of Keele,15000,12800,15000,16400
9057,2018/2019,2016/2017,1,Female + male,Performing arts,The University of Kent,15300,10600,15300,20400
9058,2018/2019,2016/2017,1,Female + male,Performing arts,The University of Lancaster,15000,12700,15000,19200
9059,2018/2019,2016/2017,1,Female + male,Performing arts,The University of Leeds,17200,11700,17200,22300
9060,2018/2019,2016/2017,1,Female + male,Performing arts,The University of Lincoln,14200,11000,14200,16400
9061,2018/2019,2016/2017,1,Female + male,Performing arts,The University of Liverpool,14200,9900,14200,16100
9062,2018/2019,2016/2017,1,Female + male,Performing arts,The University of Manchester,14500,8800,14500,20100
9063,2018/2019,2016/2017,1,Female + male,Performing arts,The University of Northampton,14600,9900,14600,18600
9064,2018/2019,2016/2017,1,Female + male,Performing arts,The University of Oxford,16800,12000,16800,27400
9065,2018/2019,2016/2017,1,Female + male,Performing arts,The University of Portsmouth,16400,12600,16400,19400
9066,2018/2019,2016/2017,1,Female + male,Performing arts,The University of Reading,18200,15000,18200,22300
9067,2018/2019,2016/2017,1,Female + male,Performing arts,The University of Salford,15000,11500,15000,17900
9068,2018/2019,2016/2017,1,Female + male,Performing arts,The University of Sheffield,16800,8800,16800,22600
9069,2018/2019,2016/2017,1,Female + male,Performing arts,The University of Southampton,17000,12700,17000,19800
9070,2018/2019,2016/2017,1,Female + male,Performing arts,The University of Sunderland,13500,9100,13500,15300
9071,2018/2019,2016/2017,1,Female + male,Performing arts,The University of Surrey,16600,10100,16600,21900
9072,2018/2019,2016/2017,1,Female + male,Performing arts,The University of Sussex,13100,7900,13100,21200
9073,2018/2019,2016/2017,1,Female + male,Performing arts,The University of the West of Scotland,14600,11000,14600,17900
9074,2018/2019,2016/2017,1,Female + male,Performing arts,The University of Warwick,18800,15000,18800,24800
9075,2018/2019,2016/2017,1,Female + male,Performing arts,The University of West London,17300,11000,17300,20800
9076,2018/2019,2016/2017,1,Female + male,Performing arts,The University of Westminster,14600,9900,14600,18200
9077,2018/2019,2016/2017,1,Female + male,Performing arts,The University of Winchester,15000,9900,15000,18200
9078,2018/2019,2016/2017,1,Female + male,Performing arts,The University of Wolverhampton,13900,8800,13900,17900
9079,2018/2019,2016/2017,1,Female + male,Performing arts,The University of York,15900,9900,15900,20100
9080,2018/2019,2016/2017,1,Female + male,Performing arts,Trinity Laban Conservatoire of Music and Dance,14500,8400,14500,17900
9081,2018/2019,2016/2017,1,Female + male,Performing arts,University Campus Suffolk,c,c,c,c
9082,2018/2019,2016/2017,1,Female + male,Performing arts,University College Birmingham,14600,10600,14600,18600
9083,2018/2019,2016/2017,1,Female + male,Performing arts,University for the Creative Arts,14200,11700,14200,17500
