,tax_year,academic_year,YAG,sex,subject_name,provider_name,earnings_median,earnings_LQ,earnings_median,earnings_UQ
58,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",University of Plymouth,19700,13900,19700,26600
59,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",University of the Highlands and Islands,28800,25200,28800,33800
60,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies","University of the West of England, Bristol",21200,15700,21200,26800
61,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",University of Wales Trinity Saint David,c,c,c,c
62,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",University of Worcester,29600,24800,29600,34300
63,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",Writtle College,21500,15500,21500,27600
64,2018/2019,2012/2013,5,Female + male,Allied health,Accrington and Rossendale College,c,c,c,c
65,2018/2019,2012/2013,5,Female + male,Allied health,Birmingham Metropolitan College,15700,11600,15700,25200
66,2018/2019,2012/2013,5,Female + male,Allied health,Blackpool and the Fylde College,c,c,c,c
67,2018/2019,2012/2013,5,Female + male,Allied health,Bradford College,17200,12800,17200,24100
68,2018/2019,2012/2013,5,Female + male,Allied health,Cornwall College,c,c,c,c
69,2018/2019,2012/2013,5,Female + male,Allied health,Croydon College,22800,13100,22800,34300
70,2018/2019,2012/2013,5,Female + male,Allied health,Eastleigh College,c,c,c,c
71,2018/2019,2012/2013,5,Female + male,Allied health,Grimsby Institute of Further and Higher Education,16400,13700,16400,20100
72,2018/2019,2012/2013,5,Female + male,Allied health,Guildford College of Further and Higher Education,11200,9800,11200,25800
73,2018/2019,2012/2013,5,Female + male,Allied health,Havering College of Further and Higher Education,18600,11700,18600,24800
74,2018/2019,2012/2013,5,Female + male,Allied health,Kingston College,16600,8400,16600,32100
75,2018/2019,2012/2013,5,Female + male,Allied health,NCG,c,c,c,c
76,2018/2019,2012/2013,5,Female + male,Allied health,New College Durham,20400,15800,20400,26600
77,2018/2019,2012/2013,5,Female + male,Allied health,North East Surrey College of Technology (NESCOT),c,c,c,c
78,2018/2019,2012/2013,5,Female + male,Allied health,Peter Symonds College,c,c,c,c
79,2018/2019,2012/2013,5,Female + male,Allied health,Southampton City College,c,c,c,c
80,2018/2019,2012/2013,5,Female + male,Allied health,Wakefield College,c,c,c,c
81,2018/2019,2012/2013,5,Female + male,Allied health,Warwickshire College,c,c,c,c
82,2018/2019,2012/2013,5,Female + male,Allied health,Weston College of Further and Higher Education,c,c,c,c
83,2018/2019,2012/2013,5,Female + male,Allied health,Aberystwyth University,c,c,c,c
84,2018/2019,2012/2013,5,Female + male,Allied health,Anglia Ruskin University,39600,24800,39600,48500
85,2018/2019,2012/2013,5,Female + male,Allied health,Aston University,37200,11700,37200,44200
86,2018/2019,2012/2013,5,Female + male,Allied health,Bath Spa University,24800,18200,24800,31000
87,2018/2019,2012/2013,5,Female + male,Allied health,Birmingham City University,23700,14600,23700,29900
88,2018/2019,2012/2013,5,Female + male,Allied health,Bournemouth University,23200,11700,23200,30700
89,2018/2019,2012/2013,5,Female + male,Allied health,Brunel University London,29200,24000,29200,33900
90,2018/2019,2012/2013,5,Female + male,Allied health,Canterbury Christ Church University,25600,17500,25600,30700
91,2018/2019,2012/2013,5,Female + male,Allied health,Cardiff Metropolitan University,25700,19300,25700,30700
92,2018/2019,2012/2013,5,Female + male,Allied health,Cardiff University,29300,25600,29300,37200
93,2018/2019,2012/2013,5,Female + male,Allied health,Coventry University,25900,19700,25900,28500
94,2018/2019,2012/2013,5,Female + male,Allied health,De Montfort University,25200,20400,25200,29900
